scientific_name,wikipedia_page,image_url,thumb_url,license,author,attribution_line,notes,approved
Brachypelma boehmei,https://en.wikipedia.org/wiki/Brachypelma_boehmei,https://upload.wikimedia.org/wikipedia/commons/4/4b/Brachypelma_boehmei1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Brachypelma_boehmei1.jpg/330px-Brachypelma_boehmei1.jpg,CC BY-SA 3.0,Viki,Own work,,y
Brachypelma emilia,https://en.wikipedia.org/wiki/Brachypelma_emilia,https://upload.wikimedia.org/wikipedia/commons/9/91/Brachypelma_emilia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Brachypelma_emilia.jpg/330px-Brachypelma_emilia.jpg,CC BY 2.0,John,Brachypelma emilia,,y
Brachypelma klaasi,https://en.wikipedia.org/wiki/Brachypelma_klaasi,https://upload.wikimedia.org/wikipedia/commons/3/3b/Brachypelma_klaasi_2009_G01_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Brachypelma_klaasi_2009_G01_cropped.jpg/330px-Brachypelma_klaasi_2009_G01_cropped.jpg,Public domain,George Chernilevsky,Own work,,y
Ceratogyrus brachycephalus,https://en.wikipedia.org/wiki/Ceratogyrus_brachycephalus,,,,,,NO_PAGE_IMAGE,y
Ceratogyrus darlingi,https://en.wikipedia.org/wiki/Ceratogyrus_darlingi,https://upload.wikimedia.org/wikipedia/commons/1/1b/Ceratogyrus_darlingi_298405067_537504789.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Ceratogyrus_darlingi_298405067_537504789.jpg/330px-Ceratogyrus_darlingi_298405067_537504789.jpg,CC BY 4.0,Peter Webb,Peter Webb,,y
Ceratogyrus marshalli,https://en.wikipedia.org/wiki/Ceratogyrus_marshalli,https://upload.wikimedia.org/wikipedia/commons/4/43/Straight_Horned_Baboon.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Straight_Horned_Baboon.jpg/330px-Straight_Horned_Baboon.jpg,CC0,Jbjensen1,Own work,,y
Chilobrachys dyscolus,https://en.wikipedia.org/wiki/Chilobrachys_dyscolus,https://upload.wikimedia.org/wikipedia/commons/0/01/Chilobrachys_cf_dyscolus1_CTNP_RPB.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Chilobrachys_cf_dyscolus1_CTNP_RPB.jpg/330px-Chilobrachys_cf_dyscolus1_CTNP_RPB.jpg,CC BY-SA 4.0,Roy Bateman,Own work,,y
Chilobrachys fimbriatus,https://en.wikipedia.org/wiki/Chilobrachys_fimbriatus,https://upload.wikimedia.org/wikipedia/commons/b/b3/Chilobrachys_fimbriatus_female.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Chilobrachys_fimbriatus_female.jpg/330px-Chilobrachys_fimbriatus_female.jpg,CC BY 2.0,Tom M.,https://www.flickr.com/photos/tsm5062/6204846801,,y
Chilobrachys huahini,https://en.wikipedia.org/wiki/Chilobrachys_huahini,https://upload.wikimedia.org/wikipedia/commons/0/02/ChilobrachysHuahini.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/ChilobrachysHuahini.jpg/330px-ChilobrachysHuahini.jpg,CC BY-SA 3.0,mistic,http://pics.livejournal.com/tooth_mistic/gallery/0000x4h4,,y
Chilobrachys sp. 'Electric Blue',,,,,,,NO_WIKIPEDIA_PAGE,y
Chromatopelma cyaneopubescens,https://en.wikipedia.org/wiki/Greenbottle_blue_tarantula,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/%28MHNT%29_Chromatopelma_cyaneopubescens_-_Venezuela_-_Female.jpg/3840px-%28MHNT%29_Chromatopelma_cyaneopubescens_-_Venezuela_-_Female.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/%28MHNT%29_Chromatopelma_cyaneopubescens_-_Venezuela_-_Female.jpg/330px-%28MHNT%29_Chromatopelma_cyaneopubescens_-_Venezuela_-_Female.jpg,,,,NO_PAGEIMAGE_FILENAME,y
Cyriocosmus elegans,https://en.wikipedia.org/wiki/Cyriocosmus_elegans,https://upload.wikimedia.org/wikipedia/commons/c/cf/C_elegans.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/C_elegans.JPG/330px-C_elegans.JPG,Public domain,Morkelsker,Own work,,y
Cyriopagopus lividus,https://en.wikipedia.org/wiki/Cobalt_blue_tarantula,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Haplopelma_lividum%2C_Cobalt_blue_tarantula_cropped.jpg/3840px-Haplopelma_lividum%2C_Cobalt_blue_tarantula_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Haplopelma_lividum%2C_Cobalt_blue_tarantula_cropped.jpg/330px-Haplopelma_lividum%2C_Cobalt_blue_tarantula_cropped.jpg,,,,NO_PAGEIMAGE_FILENAME,y
Cyriopagopus minax,,,,,,,NO_WIKIPEDIA_PAGE,y
Cyriopagopus schmidti,https://en.wikipedia.org/wiki/Cyriopagopus_schmidti,https://upload.wikimedia.org/wikipedia/commons/4/4a/Tarentule_de_Hainan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Tarentule_de_Hainan.jpg/330px-Tarentule_de_Hainan.jpg,CC BY-SA 4.0,Popolon,Own work,,y
Cyriopagopus sp. 'Hati Hati',,,,,,,NO_WIKIPEDIA_PAGE,y
Davus pentaloris,https://en.wikipedia.org/wiki/Davus_pentaloris,https://upload.wikimedia.org/wikipedia/commons/a/ad/Davus_pentaloris_%284584786095%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Davus_pentaloris_%284584786095%29.jpg/330px-Davus_pentaloris_%284584786095%29.jpg,CC BY 2.0,"Maximilian Paradiz from Amsterdam, Netherlands",Davus pentalore,,y
Dolichothele diamantinensis,https://en.wikipedia.org/wiki/Dolichothele_diamantinensis,https://upload.wikimedia.org/wikipedia/commons/2/2c/Dolichothele_diamantinensis_male.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Dolichothele_diamantinensis_male.jpg/330px-Dolichothele_diamantinensis_male.jpg,CC BY 3.0,Alexandre Righi,"Bertani R, Santos T dos, Righi AF (2009) A new species of Oligoxystre Vellard, 1924 (Araneae, Theraphosidae) from Brazil. ZooKeys 5: 41–51. doi:10.3897/zookeys.5.83",,y
Ephebopus cyanognathus,https://en.wikipedia.org/wiki/Ephebopus_cyanognathus,https://upload.wikimedia.org/wikipedia/commons/8/8b/Ephobopus_cyanognathus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Ephobopus_cyanognathus.jpg/330px-Ephobopus_cyanognathus.jpg,CC BY-SA 3.0,Factumquintus,,,y
Ephebopus murinus,https://en.wikipedia.org/wiki/Skeleton_tarantula,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Skeleton_tarantula.jpg/3840px-Skeleton_tarantula.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Skeleton_tarantula.jpg/330px-Skeleton_tarantula.jpg,,,,NO_PAGEIMAGE_FILENAME,y
Eucratoscelus constrictus,https://en.wikipedia.org/wiki/Eucratoscelus_constrictus,,,,,,NO_PAGE_IMAGE,y
