scientific_name,wikipedia_page,image_url,thumb_url,license,author,attribution_line,notes,approved
Ornithoctonus aureotibialis,https://en.wikipedia.org/wiki/Ornithoctonus_aureotibialis,https://upload.wikimedia.org/wikipedia/commons/0/05/Ornithoctonus_aureotibialis_563531510.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ornithoctonus_aureotibialis_563531510.jpg/330px-Ornithoctonus_aureotibialis_563531510.jpg,CC BY 4.0,Ian Dugdale,https://www.inaturalist.org/photos/563531510,,y
Pachistopelma rufonigrum,https://en.wikipedia.org/wiki/Pachistopelma_rufonigrum,https://upload.wikimedia.org/wikipedia/commons/9/90/Pachistopelma_rufonigrum_female.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Pachistopelma_rufonigrum_female.jpg/330px-Pachistopelma_rufonigrum_female.jpg,CC BY 3.0,original: R. Bertaniprocessed by: P. Coxhead,"Bertani, R. (2012). ""Revision, cladistic analysis and biogeography of Typhochlaena C. L. Koch, 1859, Pachistopelma Pocock, 1901 and Iridopelma Pocock, 1901 (Araneae, Theraphosidae, Aviculariinae)"". ZooKeys 230. DOI:10.3897/zookeys.230.3500.; image cropped from a set of images and the figure number removed",,y
Pamphobeteus antinous,https://en.wikipedia.org/wiki/Pamphobeteus_antinous,https://upload.wikimedia.org/wikipedia/commons/9/95/Pamphobeteus_antinous_frontal.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Pamphobeteus_antinous_frontal.jpg/330px-Pamphobeteus_antinous_frontal.jpg,CC BY 2.0,John,https://www.flickr.com/photos/8373783@N07/3561147574/,,y
Pelinobius muticus,https://en.wikipedia.org/wiki/King_baboon_spider,https://upload.wikimedia.org/wikipedia/commons/7/75/Pelinobius_muticus_adult.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Pelinobius_muticus_adult.jpg/330px-Pelinobius_muticus_adult.jpg,,,,NO_PAGEIMAGE_FILENAME,y
Phormictopus auratus,https://en.wikipedia.org/wiki/Phormictopus_auratus,https://upload.wikimedia.org/wikipedia/commons/9/9e/Cuban_Bronze_Tarantula_%28Phormictopus_auratus%29_%288573971659%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Cuban_Bronze_Tarantula_%28Phormictopus_auratus%29_%288573971659%29.jpg/330px-Cuban_Bronze_Tarantula_%28Phormictopus_auratus%29_%288573971659%29.jpg,CC BY 2.0,Thomas Brown,"Cuban Bronze Tarantula (Phormictopus auratus)

Uploaded by mgiganteus",,y
Phormictopus cancerides,https://en.wikipedia.org/wiki/Phormictopus_cancerides,https://upload.wikimedia.org/wikipedia/commons/2/22/PhormictopusCancerides.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/PhormictopusCancerides.jpg/330px-PhormictopusCancerides.jpg,Public domain,No machine-readable author provided. Trépas~commonswiki assumed (based on copyright claims).,No machine-readable source provided. Own work assumed (based on copyright claims).,,y
Phormictopus sp. 'Green',,,,,,,NO_WIKIPEDIA_PAGE,y
Poecilotheria fasciata,https://en.wikipedia.org/wiki/Poecilotheria_fasciata,https://upload.wikimedia.org/wikipedia/commons/1/1a/N%C3%A1rodn%C3%AD_muzeum_9490-1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/N%C3%A1rodn%C3%AD_muzeum_9490-1.jpg/330px-N%C3%A1rodn%C3%AD_muzeum_9490-1.jpg,CC BY-SA 4.0,Matěj Baťha,This photograph was taken with a DSLR from WMCZ's Camera grant.,,y
Poecilotheria hanumavilasumica,https://en.wikipedia.org/wiki/Poecilotheria_hanumavilasumica,https://upload.wikimedia.org/wikipedia/commons/3/33/Poecilotheriahanumavilasumica-adult-female-andrew-smith-66339bf-07aa-6671db-82f-3a-33e-961fef-6.jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Poecilotheriahanumavilasumica-adult-female-andrew-smith-66339bf-07aa-6671db-82f-3a-33e-961fef-6.jpg,CC BY-SA 4.0,Krishna GSVL,https://archive.org/details/@krishna_gsvl,,y
Poecilotheria metallica,https://en.wikipedia.org/wiki/Poecilotheria_metallica,https://upload.wikimedia.org/wikipedia/commons/6/6d/Poecilotheria_metallica_-_juvenile_male.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Poecilotheria_metallica_-_juvenile_male.jpg/330px-Poecilotheria_metallica_-_juvenile_male.jpg,Attribution,Micha L. Rieser,Micha L. Rieser,LICENSE_NOT_ACCEPTED: Attribution,y
